Date,restingHeartRate,lastSevenDaysAvgRestingHeartRate,totalSteps
2025-03-13,74.0,73.0,11540.0
2025-03-14,73.0,74.0,9576.0
2025-03-15,77.0,74.0,5114.0
2025-03-16,70.0,73.0,5238.0
2025-03-17,71.0,73.0,3244.0
2025-03-18,67.0,72.0,4152.0
2025-03-19,76.0,73.0,2730.0
2025-03-20,70.0,72.0,4276.0
2025-03-21,71.0,72.0,5158.0
2025-03-22,70.0,71.0,20606.0
2025-03-23,78.0,72.0,8090.0
2025-03-24,73.0,72.0,10742.0
2025-03-25,73.0,73.0,15248.0
2025-03-26,69.0,72.0,10760.0
2025-03-27,74.0,73.0,10556.0
2025-03-28,73.0,73.0,3888.0
2025-03-29,77.0,74.0,5528.0
2025-03-30,73.0,73.0,5482.0
2025-03-31,73.0,73.0,3844.0
2025-04-01,72.0,73.0,3328.0
2025-04-02,72.0,73.0,4104.0
2025-04-03,70.0,73.0,3686.0
2025-04-04,71.0,73.0,5334.0
2025-04-05,76.0,72.0,8204.0
2025-04-06,77.0,73.0,5394.0
2025-04-07,72.0,73.0,11520.0
2025-04-08,77.0,74.0,8414.0
2025-04-09,74.0,74.0,4030.0
2025-04-10,72.0,74.0,3666.0
2025-04-11,74.0,75.0,8032.0
2025-04-12,70.0,74.0,9174.0
2025-04-13,69.0,73.0,3856.0
2025-04-14,82.0,74.0,11676.0
2025-04-15,72.0,0.0,3110.0
2025-04-16,72.0,0.0,7200.0
2025-04-17,72.0,0.0,5044.0
2025-04-18,72.0,0.0,5948.0
2025-04-19,72.0,0.0,18868.0
2025-04-20,72.0,0.0,7856.0
2025-04-21,72.0,0.0,10662.0
2025-04-22,72.0,0.0,6164.0
2025-04-23,72.0,0.0,3744.0
2025-04-24,82.0,82.0,4198.0
2025-04-25,79.0,81.0,3654.0
2025-04-26,76.0,79.0,6828.0
2025-04-27,75.0,78.0,4072.0
2025-04-28,73.0,77.0,3714.0
2025-04-29,80.0,78.0,4374.0
2025-04-30,73.0,77.0,3550.0
2025-05-01,67.0,75.0,3494.0
2025-05-02,72.0,74.0,3546.0
2025-05-03,77.0,74.0,4770.0
2025-05-04,77.0,74.0,7552.0
2025-05-05,73.0,74.0,3946.0
2025-05-06,68.0,72.0,7382.0
2025-05-07,74.0,73.0,3850.0
2025-05-08,74.0,74.0,24534.0
2025-05-09,80.0,75.0,7660.0
2025-05-10,75.0,74.0,8698.0
2025-05-11,70.0,73.0,5556.0
2025-05-12,72.0,73.0,4264.0
2025-05-13,69.0,73.0,5608.0
2025-05-14,76.0,74.0,8006.0
2025-05-15,74.0,74.0,6306.0
2025-05-16,73.0,73.0,5820.0
2025-05-17,76.0,73.0,10616.0
2025-05-18,78.0,74.0,6958.0
2025-05-19,75.0,74.0,4364.0
2025-05-20,68.0,74.0,4480.0
2025-05-21,73.0,74.0,36304.0
2025-05-22,72.0,74.0,8260.0
2025-05-23,69.0,73.0,8222.0
2025-05-24,74.0,73.0,6590.0
2025-05-25,64.0,71.0,5822.0
2025-05-26,73.0,70.0,4488.0
2025-05-27,75.0,71.0,4328.0
2025-05-28,69.0,71.0,5660.0
2025-05-29,67.0,70.0,6178.0
2025-05-30,72.0,71.0,5254.0
2025-05-31,74.0,71.0,7804.0
2025-06-01,70.0,71.0,5964.0
2025-06-02,68.0,71.0,15208.0
2025-06-03,72.0,0.0,3318.0
2025-06-04,72.0,0.0,9800.0
2025-06-05,72.0,0.0,2978.0
2025-06-06,72.0,0.0,9156.0
2025-06-07,72.0,0.0,6052.0
2025-06-08,72.0,70.0,23812.0
2025-06-09,70.0,71.0,4784.0
2025-06-10,70.0,71.0,3418.0
2025-06-11,75.0,72.0,7484.0
2025-06-12,69.0,71.0,5024.0
2025-06-13,71.0,71.0,10308.0
2025-06-14,80.0,72.0,7012.0
2025-06-15,74.0,73.0,5882.0
2025-06-16,75.0,73.0,6452.0
2025-06-17,69.0,73.0,2926.0
2025-06-18,77.0,74.0,8570.0
2025-06-19,77.0,75.0,15396.0
2025-06-20,74.0,75.0,31328.0
2025-06-21,72.0,74.0,26972.0
2025-06-22,71.0,74.0,26862.0
2025-06-23,72.0,73.0,5176.0
2025-06-24,72.0,74.0,8526.0
2025-06-25,78.0,74.0,4530.0
2025-06-26,80.0,74.0,5426.0
2025-06-27,78.0,75.0,16550.0
2025-06-28,79.0,76.0,7066.0
2025-06-29,70.0,76.0,6788.0
2025-06-30,71.0,75.0,3174.0
2025-07-01,72.0,75.0,4024.0
2025-07-02,71.0,74.0,5592.0
2025-07-03,74.0,74.0,16524.0
2025-07-04,77.0,73.0,11544.0
2025-07-05,77.0,73.0,13950.0
2025-07-06,69.0,73.0,16742.0
2025-07-07,69.0,73.0,4710.0
2025-07-08,67.0,72.0,5690.0
2025-07-09,70.0,72.0,3468.0
2025-07-10,76.0,72.0,4750.0
2025-07-11,70.0,71.0,5258.0
2025-07-12,74.0,71.0,8378.0
2025-07-13,69.0,71.0,16292.0
2025-07-14,74.0,71.0,5838.0
2025-07-15,67.0,71.0,8416.0
2025-07-16,71.0,72.0,8920.0
2025-07-17,66.0,70.0,5722.0
2025-07-18,74.0,71.0,7266.0
2025-07-19,74.0,71.0,6764.0
2025-07-20,75.0,72.0,3532.0
2025-07-21,71.0,71.0,8100.0
2025-07-22,71.0,72.0,6306.0
2025-07-23,75.0,72.0,5372.0
2025-07-24,76.0,74.0,5140.0
2025-07-25,75.0,74.0,4458.0
2025-07-26,74.0,74.0,17106.0
2025-07-27,70.0,73.0,3774.0
2025-07-28,76.0,74.0,3882.0
2025-07-29,77.0,75.0,3680.0
2025-07-30,75.0,75.0,6236.0
2025-07-31,78.0,75.0,5116.0
2025-08-01,77.0,75.0,7952.0
2025-08-02,66.0,74.0,6382.0
2025-08-03,69.0,74.0,5876.0
2025-08-04,74.0,74.0,66.0
2025-08-05,72.0,0.0,0.0
2025-08-06,72.0,0.0,0.0
2025-08-07,72.0,0.0,0.0
